"","x"
"epsilon_SEM",0.178409171109799
"gamma_DFT",0.177902852995073
"alpha_Regret.Bell",0.176749011947288
"gamma_RAM",0.176465524881702
"epsilon_Dual.1",0.175569304506359
"epsilon_Variance.Skewness",0.174307635946993
"epsilon_Mean.Variance",0.171720710018253
"theta_Venture",0.167571853615208
"epsilon_Aspiration",0.167093981622866
"alpha_Disappointment.DC2",0.167010364815805
"beta_Disappointment.DC2",0.161284946553414
"nu_Disappointment.Bell",0.159390571079868
"epsilon_Disappointment.LS1",0.152833766249005
"epsilon_Mean.StdDev",0.147964578741003
"epsilon_Dual.2",0.147164139726638
"epsilon_EV",0.145030910305408
"beta_Subjective.Expected.Pleasure",0.144476473759894
"alpha_Disappointment.LS2",0.139830949172038
"epsilon_Disappointment.Bell",0.139154736286987
"epsilon_CoefVar",0.138565555677663
"lambda_Regret.LS",0.136807653266735
"iota_UWS",0.135667949367311
"epsilon_Mean.Below.target",0.117977874975496
"epsilon_Disappointment.LS2",0.107881667252977
"epsilon_Mean.Alpha.target",0.107326057462959
"lambda_Regret.Bell",0.105785684946719
"epsilon_EUT",0.105573379547178
"chi_Subjective.Expected.Pleasure",0.104888577705911
"omega_Heuristic.LL",0.103287900627903
"kappa_CoefVar",0.101592708239493
"gamma_Heuristic.Similarity.Leland",0.100645921831852
"epsilon_Below.mean.Semivariance",0.097384855610448
"theta_PT.Edit2",0.0893887755489596
"epsilon_CPT.TK",0.088257623167209
"kappa_Mean.Target.Semivariance",0.0867657061588702
"rho_Salience",0.086566924210633
"alpha_Mean.Alpha.target",0.0808822877705111
"alpha_Disappointment.DC1",0.0765030348375294
"epsilon_Salience",0.0759526069857913
"beta_Venture",0.0728350494957094
"kappa_TAX",0.0688827915983058
"epsilon_Mean.Target.Semivariance",0.0688231693097986
"epsilon_Regret.LS",0.0678918084398925
"beta_Regret.Bell",0.06705020655862
"beta_Heuristic.Similarity.Leland",0.0660858360821825
"epsilon_PT.Edit1",0.0652394497871804
"lambda_Disappointment.DC2",0.0648046721013253
"sigma_CPT.Prelec",0.0645511995843358
"tau_CPT.Prelec",0.0611841845476033
"delta_Mean.Target.Semivariance",0.0606755361385351
"epsilon_Regret.Bell",0.0574089090325476
"epsilon_Subjective.Expected.Pleasure",0.0534780494449521
"kappa_Subjective.Expected.Pleasure",0.0531515593455462
"omega_Heuristic.ML",0.0524531811183859
"beta_Salience",0.0497431559398216
"psi_Subjective.Expected.Pleasure",0.048675469186981
"kappa_Regret.LS",0.0461714366898264
"beta_CPT.Prelec",0.0441372776586557
"alpha_CPT.Prelec",0.0441044826794672
"nu_Variance.Skewness",0.043885200821952
"tau_PT.Edit2",0.0411786138262658
"beta_Disappointment.DC1",0.0408925620505263
"epsilon_PT.Edit2",0.0371447573117746
"tau_PT.Edit1",0.0356497386462815
"tau_Venture",0.0351682860695018
"epsilon_RAM",0.0333016914564303
"kappa_Disappointment.DC2",0.0294129455982945
"delta_Heuristic.Similarity.Leland",0.0267325249428447
"lambda_Disappointment.DC1",0.0264972069064826
"kappa_Regret.Bell",0.0233957268614771
"alpha_Subjective.Expected.Pleasure",0.0228243261766727
"epsilon_Venture",0.0212825226175008
"sigma_Venture",0.0159388351770785
"omega_Heuristic.BTA",0.0155711845596449
"phi_Variance.Skewness",0.0148030617082901
"sigma_PT.Edit1",0.014166311928086
"delta_Mean.Alpha.target",0.0132529695029919
"lambda_Subjective.Expected.Pleasure",0.0130260380580174
"omega_Heuristic.EP",0.012091375614822
"omega_Heuristic.Minimax.Regret",0.0120913692736332
"alpha_Salience",0.0103527105018594
"delta_Aspiration",0.00949492810631458
"epsilon_Disappointment.DC2",0.00525757965666326
"upsilon_Subjective.Expected.Pleasure",0.00404607573386001
"epsilon_Disappointment.DC1",0.0030959676219881
"sigma_PT.Edit2",0.000450340575300114
