"","x"
"omega_Heuristic.Priority",-0.255567134136874
"kappa_Heuristic.RELM",0.167944202190381
"alpha_Heuristic.Similarity.Leland",0.228773651531449
"beta_Heuristic.Similarity.Leland",0.0952365533551207
"delta_Heuristic.Similarity.Leland",0.0109018116756329
"gamma_Heuristic.Similarity.Leland",0.412810959093665
"omega_Heuristic.Similarity.Leland",-0.345725856943612
"alpha_Mean.Alpha.target",-0.0840136015296838
"delta_Mean.Alpha.target",0.237026293853243
"epsilon_Mean.Alpha.target",0.166902950683471
"kappa_Mean.Alpha.target",0.175900490726458
"delta_Mean.Below.target",0.0777010925371757
"epsilon_Mean.Below.target",0.265496518792321
"kappa_Mean.Below.target",0.049792599009985
"epsilon_Mean.StdDev",0.199919663497433
"kappa_Mean.StdDev",-0.259345907722382
"delta_Mean.Target.Semivariance",0.0608454051172683
"epsilon_Mean.Target.Semivariance",0.295630701060893
"kappa_Mean.Target.Semivariance",-0.115202237366331
"epsilon_Mean.Variance",0.180197754067206
"kappa_Mean.Variance",-0.186158329223861
"epsilon_Noisy.Retrieval",-0.875300715706
"gamma_Noisy.Retrieval",0.772519248193182
"mu_Noisy.Retrieval",-0.0840153309799133
"epsilon_Odds.based.SWU",-0.873265689362675
"gamma_Odds.based.SWU",0.770297105292837
"tau_Odds.based.SWU",0.0512167731704147
"epsilon_PT.Edit1",-0.773519703611866
"gamma_PT.Edit1",0.76061676872211
"tau_PT.Edit1",0.00942911617173193
"epsilon_PT.Edit2",-0.638491918768612
"gamma_PT.Edit2",0.651345242987082
"tau_PT.Edit2",0.0293450287400671
"epsilon_RAM",-0.598203535866717
"gamma_RAM",0.643961319734203
"tau_RAM",-0.0579990694422529
"alpha_Regret.Bell",0.270838866764721
"beta_Regret.Bell",0.223726021335071
"epsilon_Regret.Bell",0.0781736556932066
"kappa_Regret.Bell",-0.211096797070733
"lambda_Regret.Bell",0.0321081472835277
"alpha_Regret.LS",-0.250517005622261
"beta_Regret.LS",0.026287041935679
"epsilon_Regret.LS",-0.282498224425423
"gamma_Regret.LS",0.515718688202052
"kappa_Regret.LS",0.00779313969572108
"lambda_Regret.LS",0.117987884546846
"alpha_Salience",-0.0256421194678768
"beta_Salience",0.184227381289421
"epsilon_Salience",-0.561651803555161
"gamma_Salience",0.545220098459268
"epsilon_SEM",0.383733474338521
"tau_SEM",-0.275620160389776
"delta_SEU",-0.061249723355243
"epsilon_SEU",-0.727298987981535
"gamma_SEU",0.734453081801326
"tau_SEU",-0.0491704322363119
"alpha_Subjective.Expected.Pleasure",0.0718227793500488
"beta_Subjective.Expected.Pleasure",0.0507419540861315
"chi_Subjective.Expected.Pleasure",0.0923282130013676
"epsilon_Subjective.Expected.Pleasure",0.036066913340469
"kappa_Subjective.Expected.Pleasure",-0.09455321314714
"lambda_Subjective.Expected.Pleasure",-0.0466632399051462
"psi_Subjective.Expected.Pleasure",0.049252424348448
"rho_Subjective.Expected.Pleasure",0.0699142004942724
"upsilon_Subjective.Expected.Pleasure",-0.0627849930522555
"epsilon_TAX",-0.885705384636504
"gamma_TAX",0.790253964075107
"kappa_TAX",0.189293565584664
"tau_TAX",0.0149334854258121
"iota_UWS",-0.0496909693094504
"mu_UWS",-0.169478584250194
"epsilon_Variance.Skewness",0.143808619098368
"nu_Variance.Skewness",0.155058020387433
"phi_Variance.Skewness",-0.252814219907545
"beta_Venture",-0.144378903856938
"epsilon_Venture",-0.790144867025173
"gamma_Venture",0.66658346550571
"tau_Venture",0.0409765659848097
