SUBJ ID;EXPERIMENT;Baseline;EV;EUT;SEM;SEU;PT-Edit1;PT-Edit2;CPT-TK;CPT-LBW;CPT-Prelec;Dual-1;Dual-2;Regret-Bell;Regret-LS;Salience;Aspiration;Below-mean Semivariance;Certainty Equivalence;CoefVar;DFT;Distracted DFT;Disappointment-Bell;Disappointment-LS1;Disappointment-LS2;Disappointment-DC1;Disappointment-DC2;Dual System-M;Dual System-LOB;Mean Alpha-target;Mean Below-target;Mean StdDev;Mean Target Semivariance;Mean Variance;Noisy Retrieval;Subjective Expected Pleasure;Odds-based SWU;UWS;Variance Skewness;Venture;RAM;TAX;Heuristic BTA;Heuristic CC;Heuristic EP;Heuristic RELM;Heuristic LL;Heuristic LEPE;Heuristic LPE;Heuristic Minimax;Heuristic Minimax Regret;Heuristic ML;Heuristic MPW;Heuristic Priority;Heuristic Similarity-Leland
11;Erev17app;79.01877858;71.11597814;75.1590294;70.15400109;73.03438469;78.09778954;77.84979486;78.55236612;86.02745837;85.30758224;72.76888087;76.76035064;80.97525725;84.13276168;78.64196789;82.43557394;72.98820834;76.01006509;84.23504967;73.2358768;71.80646824;73.72946894;74.16934083;76.91572925;81.02179993;84.88306835;70.00143778;74.29813488;75.68285858;76.35333154;73.92363765;78.98713974;74.83180902;70.25508361;86.02957437;73.49589267;72.11341472;78.87486029;83.1459626;71.53775583;73.95691456;77.7804127;77.00237242;73.45443824;68.07036345;82.9848878;82.16849983;83.04428509;78.05797085;73.45443824;81.66342574;82.5051255;78.42608048;88.91332245
12;Erev17app;79.01877858;68.63057948;61.80548327;72.53263478;68.54469432;71.43130571;70.91042222;70.1599028;77.70226203;75.37714868;65.48919254;69.76244847;83.25963133;73.11916467;65.8812304;67.64343441;62.46214754;79.73503822;82.27542105;79.36774466;77.76960047;67.221976;76.5657853;68.23556057;68.000501;60.64941196;66.6094733;69.19253025;64.1559579;67.80031396;66.39659089;66.21303083;63.69879749;65.14947898;74.0840809;64.50164305;74.47989494;67.74184876;75.67403556;72.69520019;68.53913124;77.7804127;77.00237242;81.12672074;70.43684367;82.75383338;83.06182985;83.04428509;76.7002518;81.12672074;79.89488588;81.24963363;79.5244283;82.61011301
13;Erev17app;79.01877858;81.3517681;85.39481936;85.39481936;93.03042618;96.82211237;97.2357878;63.5577739;70.12301991;67.91631115;83.06182985;83.06182985;89.4873294;93.82540597;75.67070532;83.6163482;85.39481936;83.02310169;110.2532518;82.00640274;76.23453561;80.62066615;88.81370327;91.87050477;89.73061763;78.7928056;89.43787063;93.4809219;79.94170103;89.43787063;85.39481936;89.43787063;85.39481936;89.43787063;106.4345943;89.43787063;80.57929569;83.77599186;102.9895852;91.14793239;93.4809219;82.95651804;81.85984269;83.06182985;76.53624442;83.06182985;73.14164286;79.06758985;83.06182985;83.06182985;77.37858501;77.96485875;83.06182985;97.01912843
14;Erev17app;79.01877858;80.52033781;80.38411749;78.39294817;77.95916699;87.46775867;85.93707162;83.96808184;84.55798874;80.85173165;80.94190887;82.06059469;91.35147087;83.53390432;80.77293977;80.65173929;83.52475162;76.18102861;95.60831191;78.82399225;82.77534143;84.40094997;84.11233005;78.97060516;94.82319129;88.72762099;77.12930396;80.55695212;87.00831065;87.93506393;84.49043783;87.98375263;84.25496951;76.51390085;102.1346204;73.91611572;76.35810329;88.29802077;92.55518426;80.04800143;77.95916699;77.7804127;74.39998207;78.05797085;72.31505202;83.06182985;83.06182985;80.07066355;81.82615896;78.05797085;83.06182985;83.06182985;82.77587211;87.44263307
15;Erev17app;79.01877858;82.03896308;71.24093273;86.08201434;79.27537253;83.37008654;91.41607954;83.37008654;91.45376764;91.37066358;76.60451083;76.16705454;92.43027128;84.16794175;78.88298747;78.8420966;82.21449874;83.06182985;108.8359356;85.69656839;89.57927739;80.2094804;89.74401415;78.77100472;91.57444105;86.26732255;82.36939485;79.32703526;85.65586526;82.97585735;80.29330784;83.54124361;81.57674788;75.28398399;102.3057593;75.28398399;83.11333022;85.61979915;91.43677958;77.60951702;79.27555418;83.06182985;79.07697099;82.75383338;82.41778463;79.24568954;82.89811225;83.06182985;76.7002518;82.75383338;77.37858501;77.96485875;77.17212825;83.4937563
16;Erev17app;79.01877858;83.06182985;82.64140777;87.10488112;78.80867933;91.98370094;91.96783356;90.56365638;98.38631123;97.57290945;78.42225968;76.23596558;97.24442885;96.65416916;84.94649545;87.72703428;82.95959756;83.06182985;111.9633135;85.62559365;89.36729998;78.06896127;86.20597758;86.76656532;85.54013658;88.6639596;86.96763123;90.72751031;82.76168614;81.14679139;74.88394577;84.3513187;81.88050915;86.68445904;101.7125047;86.68445904;87.09793529;85.92374562;88.09829311;84.24777772;63.86906151;83.06182985;83.01419279;83.06182985;83.06182985;71.55371644;83.06182985;83.06182985;71.55371644;83.06182985;78.73261571;80.34550141;63.62228761;80.94115837
17;Erev17app;79.01877858;70.21126052;73.04975137;71.22081719;75.74744029;76.47272037;74.85337329;77.34676832;84.50425966;83.68386044;71.80724595;75.99422855;78.79551683;74.9733956;77.19788118;80.76593963;68.9661866;74.30231661;84.48993744;72.11190737;76.15495863;72.55413237;75.01112516;74.05818002;75.2034561;82.17472323;74.30677355;79.98897891;79.14803263;75.3286418;72.51950308;75.98375183;72.09725194;75.94592764;77.97456884;71.70438903;66.82242233;76.1403032;87.48000365;76.09295091;75.71036226;80.39900318;77.00237242;81.82615896;62.32212225;83.06182985;83.06182985;82.62266915;79.24568954;81.82615896;81.66342574;81.24963363;80.47035137;83.98282369
18;Erev17app;79.01877858;73.66377062;61.59484939;77.70682189;69.11982624;64.31428954;64.60968263;62.56130327;70.67015;69.44008981;48.57785559;48.9652026;85.77581816;77.55122395;65.16578418;68.36516551;47.85847373;82.38476633;74.64705119;79.01375842;77.6255477;52.34853619;81.72059146;69.15482741;63.03633143;66.50757904;69.60365084;63.23439505;57.53433107;54.06347826;56.55769145;58.30334373;53.10930852;59.19134378;69.86462199;65.60107192;73.07874768;57.15235979;61.13778919;55.92857881;69.61863078;80.39900318;77.00237242;80.26748108;69.03569641;83.06182985;83.06182985;83.06182985;71.55371644;80.26748108;75.82659471;77.96485875;72.43553955;84.5830869
19;Erev17app;79.01877858;70.76865505;74.81170632;68.34804515;76.11435791;76.06558156;75.07290266;76.06714818;83.50770155;81.43208083;76.14034421;79.74879663;75.31337685;78.23729362;84.89043129;76.00986872;72.67917174;71.46994553;85.23790316;82.46113574;84.73202466;74.66984705;71.87423345;75.41406059;81.4307062;85.72490277;73.69789779;79.8464875;72.17596789;77.53289274;74.58956386;78.66466785;74.56475266;75.80343623;79.23441862;72.07130664;76.60482452;78.60780393;84.86456737;76.32800698;73.27613169;69.4962847;77.00237242;71.55371644;73.08666848;82.75383338;83.04364703;81.63481289;81.82615896;71.55371644;83.06182985;83.06182985;81.91505336;87.44263307
20;Erev17app;79.01877858;81.99085161;77.05021123;86.03390288;78.08439572;69.69750548;69.69750548;70.28796912;75.74217118;67.21212305;61.4808862;56.73909891;95.20950964;88.7530798;83.84108439;67.72006884;55.90493017;83.06182985;82.00733891;80.95194026;75.39434047;51.29467454;90.00981262;80.19154034;46.88301183;50.90906928;80.53343336;83.86507792;62.0829459;64.18190194;49.21552776;64.6568668;58.97093293;79.82202665;72.80402082;81.01012436;84.33342709;63.01398419;60.91121721;68.01641634;64.75366836;83.06182985;77.00237242;82.36797773;80.31671526;81.12672074;83.06182985;83.06182985;43.89561612;82.36797773;77.37858501;79.25221043;47.62760369;63.60093353
21;Erev17app;79.01877858;79.84528927;82.89920395;80.23217628;85.94152956;85.96610034;86.39372433;87.53102952;95.3513871;95.30180167;75.54221903;77.39335317;91.08836811;89.96188354;86.90898296;82.29531265;77.44818302;79.44829435;94.93326338;85.71980982;89.65392956;80.57361793;83.14016292;81.72130355;85.83085242;89.24287438;84.49605838;87.80881726;82.04741914;81.0373086;81.68777708;85.66729022;81.63358008;83.76576599;94.51588689;81.89847829;84.31630144;85.67663135;92.37140803;81.12009441;85.7448325;74.18403784;82.63178867;79.24568954;80.48773637;83.06182985;83.06182985;83.06182985;82.75383338;79.24568954;83.06182985;83.06182985;82.99038609;92.87245688
22;Erev17app;79.01877858;81.84682781;81.23898028;85.88987908;87.99874966;92.26537148;94.8505408;92.90810167;98.50514597;95.03456127;77.65816219;76.61246501;86.95499349;84.91886196;91.35074148;88.86591146;83.99484061;83.06182985;96.93480191;80.70851217;80.2057637;80.64277962;86.03818362;87.09819057;88.68593434;91.51544869;87.42915909;89.32508281;83.10531622;80.58650089;79.6863831;84.24157235;82.27636538;85.28203154;103.116229;85.28203154;83.47023248;86.31941665;92.82232622;85.54816511;83.46933622;83.06182985;80.68324334;83.06182985;79.42718121;82.36797773;83.06182985;83.06182985;78.05797085;83.06182985;69.89923741;70.73199601;77.17212825;88.60774462
23;Erev17app;79.01877858;80.35794578;84.40099705;78.07637193;85.97662849;93.26798677;93.26798685;87.71994365;94.61998423;89.3781937;83.06182985;83.06182985;91.99997552;95.09265073;90.87163667;90.89738453;84.40099705;71.47721955;109.2594294;85.72058776;89.76363903;81.83229829;79.72667716;83.28027826;91.28585593;94.20907488;85.69008903;90.34306718;87.69663583;88.44404831;84.40099705;88.44404831;84.40099705;86.30001591;99.13886413;81.93357722;82.92114345;86.03127527;100.6676428;88.74987871;85.97662849;77.7804127;77.00237242;78.05797085;78.87809218;83.06182985;83.06182985;76.60566645;83.06182985;78.05797085;83.06182985;83.06182985;83.06182985;92.26875935
24;Erev17app;79.01877858;82.48181466;78.51511987;86.52486593;85.56573568;89.51284558;89.51284558;87.88936818;94.62333726;93.51248292;73.86438952;72.38141386;92.95167551;87.93317951;89.15974317;85.19993002;77.05872317;83.06182985;88.01221303;69.34274331;70.96561367;76.05883694;90.09998501;86.34073931;88.1872187;91.95111525;85.28126698;86.46492306;80.11937477;76.10197269;75.47193912;76.67275846;76.72517076;82.42187179;101.2354821;82.55817113;83.56128735;80.76822202;94.65678294;80.20338248;84.37222882;82.95651804;77.00237242;83.06182985;79.51823608;81.82615896;83.06182985;83.06182985;69.45737811;83.06182985;75.82659471;76.47739577;75.75880357;83.14156421
25;Erev17app;79.01877858;83.06182985;69.17163519;87.10488112;60.28997294;74.60177603;77.78695757;69.31010412;75.99372279;75.71544252;77.47740468;74.91038308;99.23403492;76.14925279;71.57592577;79.21884464;69.39781675;83.06182985;98.14980396;85.71935244;89.6709005;73.07295934;91.14793239;66.27951793;83.28291097;81.51779247;69.42333466;72.54081126;88.33334451;85.11864444;72.00034003;84.30869524;74.0861256;68.49775999;95.03407782;64.14168946;87.10488112;78.13048107;68.28625855;66.60299639;64.55522011;82.95651804;83.01419279;82.75383338;83.06182985;64.63726433;83.04364703;83.06182985;78.05797085;82.75383338;82.97484591;83.06182985;74.1816729;72.84496243
26;Erev17app;79.01877858;80.64056896;68.29709451;84.07079878;72.42154537;76.8495404;80.24642165;75.31297159;82.745275;82.94153098;70.58833011;71.2503442;95.20174175;83.6441514;72.98454834;73.87526491;71.7261416;82.69316439;94.73666651;73.30465914;73.63782215;75.25383411;88.15595311;73.26954256;85.74385832;78.05954774;74.54334741;73.21700111;78.59132611;74.98084954;75.64364171;74.55044033;73.75244692;69.17394984;84.00930554;68.3784941;75.49696233;77.79549819;85.23638531;70.80684199;72.42154537;81.3649523;74.39998207;80.26748108;71.45391106;81.12672074;83.06182985;83.06182985;67.15575388;80.26748108;82.71356409;82.5051255;74.1816729;74.05264644
27;Erev17app;79.01877858;76.04018197;65.22334976;80.08323324;73.30635331;73.34341721;80.30601525;76.24298205;83.9030231;83.25056994;63.05611105;63.15051082;79.35571173;70.90852212;65.5279037;74.33099288;68.33611441;83.06182985;90.21344627;75.19672242;73.00121145;66.3318934;82.56546546;71.48454776;74.61124339;76.38635638;78.79945324;73.30945229;63.48267672;59.44004918;65.61532928;61.25185092;66.38376661;69.26640102;82.51642213;69.26640102;75.92280709;70.42681788;83.76084202;70.07258219;72.34385459;82.95651804;80.68324334;83.06182985;71.87975582;81.12672074;83.06182985;83.06182985;73.45443824;83.06182985;61.79968491;65.71480172;77.17212825;74.15422973
28;Erev17app;79.01877858;82.21457913;86.2576304;86.2576304;94.34373405;99.23403492;98.13815034;86.95361996;95.02734349;96.17532508;83.06182985;83.06182985;87.29199989;92.67874479;91.52182067;88.7035071;86.2576304;83.02255738;111.1160628;85.0539153;88.8102224;78.50345034;86.00044847;89.0048467;79.41227053;85.21980038;90.30068166;94.34373293;84.66045584;90.30068166;86.2576304;90.30068166;86.2576304;90.30068166;99.20759447;90.30068166;85.69374179;81.16253096;106.9772456;91.14793239;95.19098366;83.06182985;83.06182985;83.06182985;81.72754893;83.06182985;76.36098155;79.06758985;83.06182985;83.06182985;79.89488588;80.34550141;83.06182985;99.21516588
29;Erev17app;79.01877858;70.01872766;70.20891561;73.46998654;74.56621031;74.65987402;72.58292276;74.34515387;80.73934095;81.47265489;60.88631683;65.53648232;84.7190953;79.14746964;77.71210402;74.39651918;62.89598274;80.76901308;84.42611397;79.92579657;80.17890177;64.97388228;76.83803337;69.37293134;68.66868928;72.7457219;72.47015565;77.12601224;66.32825694;67.07438959;64.62908759;72.44596093;66.93323545;73.08296097;81.65850206;71.68352066;71.17756651;70.97628672;83.33975154;66.45213159;71.40335153;79.20671773;80.68324334;81.12672074;68.55434997;80.26748108;83.06182985;83.06182985;73.45443824;81.12672074;79.89488588;81.24963363;75.75880357;70.41566537
30;Erev17app;79.01877858;82.79047066;86.70824813;86.83352193;93.92773893;97.94726344;98.64461791;97.94724746;104.6898791;104.2187298;82.69477822;82.55495791;96.7828843;96.62431889;93.12039141;96.41986847;86.665806;83.06182985;94.67254318;85.72058776;89.76363903;86.52712956;83.82130584;87.84807853;92.20895387;96.7498181;90.8765732;94.79435067;88.178253;89.52007774;86.08651738;88.27331659;85.87558123;90.7512994;111.3668614;90.7512994;86.78580402;89.9186325;101.7829641;90.78088076;90.82042017;83.06182985;83.06182985;83.06182985;82.92195019;80.26748108;80.84692336;83.06182985;83.06182985;83.06182985;79.89488588;81.24963363;82.99038609;96.54497501
31;Erev17app;79.01877858;77.99090759;74.21379504;79.97563466;73.24731059;77.97476148;79.85191138;74.43153659;80.32915716;80.63385054;70.26407812;72.62077072;93.62496925;85.22133837;83.73544548;82.77428498;74.96606399;81.84145528;106.5350736;84.96634342;87.91092386;75.56057747;84.23976779;72.70373287;76.07982981;78.22455375;76.63461975;77.24957126;83.80653243;79.81826645;75.94947643;82.30200383;77.73381207;73.20651999;83.23456259;70.79895978;77.23100161;81.77686334;88.22548115;72.47671425;73.92822785;77.7804127;80.68324334;81.12672074;73.65335965;81.12672074;83.06182985;83.06182985;79.24568954;81.12672074;82.71356409;82.86168144;80.47035137;80.69352589
32;Erev17app;79.01877858;75.03265967;63.80491128;78.77107636;68.37929465;69.79381439;73.23975166;66.40178295;75.47042289;74.10579818;66.80508674;69.68541997;91.1964738;78.23917886;69.29078983;70.76127662;66.51660624;81.52799515;88.36930978;81.54372408;74.26665063;71.49428822;82.8014443;68.01981223;76.32306891;69.351108;72.81986322;70.73111241;61.14210007;68.24798902;70.45515543;64.87665809;67.9575891;66.68806114;78.14247213;64.33624338;79.46188293;72.00064037;74.39274775;70.54168919;68.37211199;80.39900318;74.39998207;80.26748108;75.4291598;81.82615896;83.06182985;83.06182985;71.55371644;80.26748108;82.71356409;83.0396058;75.75880357;73.88630481
33;Erev17app;79.01877858;57.40719015;61.45024141;58.05755992;66.14366246;70.7592562;70.7592562;68.98215563;76.82983326;76.62770747;78.59406123;81.71431282;67.81838474;71.86144824;69.0243882;63.2851147;61.45024141;70.99819872;71.22374026;43.29987762;47.34292889;59.56661888;61.49257342;65.53562469;61.76984205;65.81289332;65.43844812;69.48149939;59.24206344;65.49329268;61.45024141;65.49329268;61.45024141;65.43844812;74.5318724;62.10061119;48.02099639;63.0329838;81.5338847;84.90815036;66.14366246;80.39900318;74.39998207;78.05797085;43.4231527;83.06182985;79.95983231;77.91367932;82.75383338;78.05797085;81.66342574;82.5051255;82.41773707;67.53457835
34;Erev17app;79.01877858;81.82813502;85.87118628;84.81423366;92.90033626;96.05195845;97.38753301;96.84874767;97.79496488;89.40887627;83.06182985;83.06182985;93.07218632;97.10491845;95.65022173;83.49531371;85.87118628;78.29975205;96.91610912;83.54139502;85.97586948;84.91871176;89.3264561;93.36872396;93.31385985;90.86959256;88.74727615;92.79032742;83.53038776;89.91423755;85.87118628;89.91423755;85.87118628;88.74727615;99.43764634;88.85728492;82.17142005;89.66751834;102.7289613;91.00639649;92.90033619;80.39900318;80.68324334;78.05797085;78.12836878;83.06182985;83.04364703;75.13970412;83.06182985;78.05797085;82.97484591;83.0396058;83.06182985;96.54497501
35;Erev17app;79.01877858;69.72222519;72.64140794;70.40857305;74.98206272;74.93817596;75.21188895;73.63894996;80.85475492;81.09939091;68.63050605;73.0626156;82.27668299;81.01804625;77.03917864;70.29637701;67.83405048;72.8525728;84.64459183;78.37953899;76.42399924;70.35593847;74.78653518;75.21371011;77.37290221;79.55847051;72.16953619;75.07418361;66.21335392;73.52341305;71.46730461;75.73272342;70.98987541;71.03113235;84.25096944;70.93901145;69.82968555;75.03292668;82.22082236;73.10840977;74.98206272;77.7804127;74.39998207;73.45443824;68.03518734;83.06182985;83.06182985;82.20000678;79.24568954;73.45443824;80.87046186;81.9685065;79.5244283;85.38798074
36;Erev17app;79.01877858;79.39346042;59.37287541;83.43651169;67.45897794;53.62947082;55.73399992;56.90363169;62.341923;60.95498116;56.13312525;53.12322979;90.87407868;70.6018102;66.9375763;63.31289532;55.90051184;83.06182985;78.88058461;73.40439002;75.59906718;56.87024944;87.23969813;67.12748857;68.19296489;58.96053661;72.00768125;67.44056842;54.5886099;50.60599402;55.88693489;51.18571983;59.44356792;63.39751715;76.80132749;63.41592667;78.05972887;63.48661919;59.27487308;54.29706717;65.19982044;83.06182985;79.07697099;83.06182985;74.08048119;81.82615896;83.06182985;83.06182985;58.89061746;83.06182985;74.06911537;74.78242661;68.41088183;72.00944457
37;Erev17app;79.01877858;75.66922697;76.29174183;79.71227824;82.20630424;88.38784626;88.288413;87.08356077;91.92606473;91.17410913;72.56377101;74.21350377;89.17212529;86.07645893;86.84095107;77.52056473;78.20607031;82.95939348;104.5707106;71.24690303;68.30706227;75.48422782;83.41241721;81.99395083;77.55973141;76.73202462;78.4365176;84.37784436;73.47751346;78.69822815;74.8111174;82.72353322;78.28099448;80.3347931;93.63610689;80.3168502;69.29486493;82.32404575;92.27482272;80.64987355;80.90161188;82.63999619;79.07697099;81.82615896;64.72451268;79.24568954;83.04364703;83.06182985;71.55371644;81.82615896;75.82659471;76.47739577;66.11684175;82.61011301
38;Erev17app;79.01877858;83.06182985;81.28911594;85.32814843;83.00317182;90.60183156;90.75124133;89.34617901;95.87701735;95.63165778;82.31841582;82.24625658;99.23403492;95.19475936;84.92200595;91.91657569;86.14886847;83.06182985;111.9633135;99.53128289;103.4310618;86.0663681;91.00762727;83.96530009;96.95804264;96.3707207;80.35176487;84.39525814;92.42239693;89.73140801;85.6937169;89.85456703;86.16262165;80.35176487;108.4463898;79.70928926;87.10488112;90.20569563;93.66609811;80.72713068;83.50062489;82.95651804;82.63178867;82.75383338;83.06182985;78.05797085;83.04364703;83.06182985;80.26748108;82.75383338;83.06182985;83.06182985;79.5244283;85.85831531
39;Erev17app;79.01877858;77.62844246;67.46067632;81.67149373;69.9435534;76.65583906;83.55365393;76.65016441;82.23427547;82.3814128;61.92439155;62.14227474;81.07836894;73.04050517;70.54734806;75.12802084;68.37047872;83.06182985;90.15780759;66.02777674;67.34152084;65.92792052;84.80319049;74.51767185;76.05333298;80.09690728;79.09223341;75.54677885;72.32348264;71.30604733;65.59092475;74.72425835;69.59467775;71.50372759;90.86076144;71.50372759;69.77697097;73.63772902;80.6944927;69.37546007;74.34738429;83.06182985;77.00237242;81.82615896;66.28416495;76.7002518;83.06182985;83.06182985;71.55371644;81.82615896;74.06911537;74.78242661;68.41088183;72.00944457
